#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
Both #Person1# and #Person2# think Superbad is funny.	break up
It is the first time for #Person1# to come to the bar.	a movie
#Person1# takes a bus to Central Park.	a bar
#Person1# tells #Person2# she'll be leaving because she's been offered another job.	take a bus
#Person1# suggests having a house cleaning, and #Person2# chooses to wash clothes.	an interview
#Person1# serves #Person2# to order two bottles of beer, a steak dinner, and ice cream.	clean the house
#Person2# buys a leather jacket and a dress made of pure silk with #Person1#'s recommendation.	order food
#Person2# tells #Person1# people are annoyed by the dirty air in Los Angeles.	buy a jacket
#Person2# is struggling to choose the books about Hollywood in the 30s and 40s.	climate
#Person1# asks #Person2# what #Person2# did during the vocation to Paris.	search for books
#Person1#'s tired of watching television, so #Person1# and #Person2# search on the paper to choose a movie to watch.	vocation
#Person1# had a great holiday in the country, and the weather was good.	watch a movie
#Person1# is angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	a foreign language
#Person1# and #Person3# visit #Person2#'s house, and they have dinner together.	holiday
#Person1# calls Olivia, but #Person2#'s out.	have a dinner
#Person1# calls Doctor Smith, but he isn't available.	go shopping
#Person2# wants a cool birthday present, but his mom wants to give him a sissy present.	leave phone number
#Person1#'s watching a soap opera, but #Person1# wants to watch a football match.	share a book
#Person1# asks #Person2# a cheap way to get to the airport.	the conference center
#Person2# tells #Person1# #Person2# was Propaganda department minister and played basketball in college.	accommodation in London
#Person1# stabbed the victim because he beat #Person1# first and tried to grab #Person1#'s bag.	show the way
#Person2# tells #Person1# #Person2#'s ideal job and the job plan if hired.	interview
#Person1# borrows a book from #Person2# and will only look up the most necessary words.	interrogate the murderer
#Person1# helps #Person2# open a current account, deposit 3,000 yuan, set the passcode and confirm all the information.	credit card
#Person2# considers the hero's acting inferior to that of the heroine's while #Person1# thinks the opposite.	read a book
#Person2# thinks spending summer days in a mountain village is splendid while  #Person1# prefers a big town.	business talk
#Person1# and #Person2#'s car is stranded in the ditch in a big snowstorm.	open an account
#Person1# congratulates #Person2# on his winning the award and admires his work.	film discussion
#Person1# had a good time at #Person1#'s party and she thanks #Person1#.	spend summer days
#Person1# is excited about studying in America	get stranded
#Person1# is considering taking #Person2#'s class but worries about grades.	congratulations
#Person1# invites #Person2# to go dancing this evening.	party
#Person1# and #Person2# plan to move, and they find a satisfying house in the paper.	study in America
#Person2# phones Maintenance Department because the air conditioner went wrong.	ask for suggestions
#Person1# and #Person2# find a man who fell and is unconscious.	movie discussion
#Person1# buys two train tickets to London with #Person2#'s assistance.	go dancing
#Person2# phones the Customer Service because #Person2#'s vacuum's broken.	move
#Person1# and #Person2# talk about the delivery arrangement for the goods.	phone call
#Person2# phones to book a duplex suite but #Person1#'s hotel isn't available.	emergencey
#Person1# tells #Person2# to finish something on time.	buy tickets
#Person2# requests #Person2# to give a message to his wife because the line's always busy.	customer service
#Person2# thinks his mother is much better and refuses to hire someone to take care of her.	book a room
#Person2# says since her mother moved in, her baby's been pretty good.	give a message
#Person1# helps #Person2# find a collection of the 19th century European paintings.	rent a house
#Person2# tells #Person1# he put a buck in the vending machine but the thing got stuck.	daily casual talk
#Person1# was criticised by the teacher for cheating on exams and talked back rudely.	new-born baby
#Person2# orders mutton chop, apple pie, and coffee for #Person2#'s meal instead of regular dinner under #Person1#'s recommendation.	find a book
#Person1# orders seafood, cold dishes, and champagne with #Person2#'s assistance.	third-hand smoke
#Person1# takes a taxi to the financial street.	vending machine
#Person1# gives #Person2# home assignments and asks students to get a calculator and review today's notes.	job interview
#Person2# tells #Person1# the mangoes are on sale today and then #Person2# introduces mangoes to #Person1# in detail.	a rude student
#Person1# tells #Person2# about the wildlife sanctuary and the two sole ways to visit wild animals.	take a taxi
#Person1# phones #Person2# to tell him her sister #Person3# is coming back from the states next weekend.	give home assignments
#Person1# and #Person2# are planning the class dinner for the end of the year.	farewell phone call
Martin tells #Person1# about his experience in Europe.	wildlife sanctuary discussion
#Person1# surveys #Person2# about #Person2#'s reading habits.	plan a party
#Person2# buys a bouquet of violet for #Person2#'s wife's birthday according to #Person1#'s suggestion.	trip experience
#Person1# has a problem with the cable.	repair a watch
#Person2# is looking for an MP-3 player.	class dinner plan
#Person2# is upset because #Person2# broke up with a girl.	survey
Lily and #Person1# wish each other a merry Christmas.	rent a place
#Person2# likes disco, so #Person1# and #Person2# dance the disco.	buy flowers
#Person1#'s golf ball landed in the sand trap and she hates that.	cable
#Person1# would like to get a new iPhone.	MP-3 player
#Person1# is going for a hike in the southern Rocky Mountains during the weekend.	take over
#Person1# tells #Person2# not to criticize #Person2#'s son in front of his friends.	Christmas
#Person1# fell asleep very late because #Person1# had too much on the mind.	dance
#Person2# likes Irish coffee and buys takeout at Starbucks.	play golf
#Person1# calls #Person2# to query about his information but the connection is terrible.	apple products
#Person2# wants to have apple pie with ice cream and another glass of lemonade.	smoke
#Person1# helps #Person2# cash the check to buy traveler's checks.	criticize
#Person2# helps John Sandals to reserve a nonsmoking room with a queen-size bed from April 14 till April 17.	coffee
#Person1# wants to fly to Toronto.	terrible connection
#Person1# lost #Person1#'s tags and receipt.	neighbour
#Person1# orders sole but is served with the same as the others.	cash the check
#Person1# interviews #Person2# who has been a data entry operator for three years.	tourist party
#Person2# is interested in applying for a credit card with #Person1#.	reserve a room
#Person1# helps #Person2# to book a taxi to the airport on Saturday morning for 60 dollars.	flight
Francisco and #Person1# meet each other for the first time.	find the case
#Person1# has had a very dangerous life and tells #Person1# about his worst accident and a very frightening experience recently.	book a taxi
#Person1# tells #Person2# about #Person1#'s boy, Jack, who is a bit tired because of school but likes it.	family
#Person1# and Lilly talk about how they spend their winter holidays.	meal
#Person1# tells #Person2# #Person2# can keep in touch with #Person2#'s aunt in America through the internet and willing to show #Person2# how.	compensation
#Person1# and #Person2# talk about #Person3# who is pregnant but still fashionable.	go to Hawaii
#Person2# wants to get tans at the beginning of the summer	dangerous life
#Person1# has to get another car.	son
#Person2# doesn't feel like she has chemistry with a guy.	have a cold
#Person1# asks #Person2# to compare Mary and Jones in terms of typing, shorthand, and language mastery.	winter holiday
#Person1# and #Person2#'s flight was delayed.	internet
#Person2# tells #Person1# how to get to the cross bakery building.	summer
#Person1# wishes they had hired a professional person to film it and feels disappointed with #Person2#'s work.	get a car
#Person1# is busy working on a new research project.	relationship
#Person1# sends some computer equipments to Shanghai with #Person1#'s assistance.	comparison
Zina tells #Person1# her idea of job-hopping to the rival company and #Person1# is stunned.	attack
#Person2# wants to rent a Porsche with the insurance.	ask directions
#Person2# shares the details of the seaside trip with #Person1#.	research project
#Person1# criticizes #Person2# for smoking in the office during working time.	send items
#Person1# wants to pay the bill and is served by #Person2#.	see a doctor
#Person1# helps #Person2# prepare for the job interview.	job-hopping
#Person1# blames #Person1# for procrastination for the past two weeks.	rent a car
#Person2# merely wants to discuss some further tests with #Person2#, but #Person1# treats it as bad news.	enjoy sceneries
#Person2#'s husband isn't there when #Person2#'s going to give birth.	smoking
#Person1#'s dish hasn't arrived, so #Person2# checks the order and offers a free glass of wine for the inconvenience.	pay the bill
#Person2# comes to #Person1#'s housewarming party and is warmly received by #Person1#.	job interview preparation
#Person1# is describing the appearance of a certain man to #Person2#.	procrastination
#Person1# and #Person2# are talking about the fortune and beauty of Janet.	the test results
#Person1# and #Person2# admit the tranquility of living in nature but they both prefer living in the city.	treatment
#Person1# tells #Person1# she turns seven and will have a birthday party.	childbirth
#Person1# requests #Person2# to show #Person1# around the library because #Person1# is new here.	social talk
